Hospital Name,Pincode,Location,
Government Veterinary Hospital,500055,Gajularamaram,
Government Veterinary Hospital,500028,Masab Tank Main Road,
Government Veterinary Hospital,500072,"Shanthi Nagar, Kukatpally",
Government Veterinary Hospital,500008,"Bapughat,Langar Houz",
Government Super Speciality Veterinary Hospital,500029,"Vittalwadi Ln, Narayanaguda",
Campus Veterinary Hospital,500030,Budwel,
Government Veterinary Clinic,500035,Saroornagar,
Pet Exotica,500089,Manikonda,
Olive pet clinic,500060,"Domalguda,Himayatnagar",
Canfel Pet Clinic,500082,"Nagarjuna Circle, Punjagutta",
Happy Pet Clinic,500081,"Ayyapa Society, Madhapur",
